Route,Score,End,End Exit Volume,Start,End Clean
"['Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Bond Street', '[TRANSFER→]Green Park', 'Oxford Circus', 'Green Park']",653050.3259564365,Green Park,50979.93327935799,Victoria LU,Green Park
"['Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Piccadilly Circus', '[TRANSFER→]Oxford Circus', 'Green Park', 'Oxford Circus']",653050.3259564365,Oxford Circus,88888.96704187145,Victoria LU,Oxford Circus
"['Victoria LU', 'Green Park', '[TRANSFER→]Piccadilly Circus', 'Oxford Circus', '[TRANSFER→]Bond Street', '[TRANSFER→]Baker Street']",653050.3259564365,Oxford Circus,88888.96704187145,Victoria LU,Oxford Circus
"['Leicester Square', '[TRANSFER→]Piccadilly Circus', 'Green Park', 'Oxford Circus', '[TRANSFER→]Piccadilly Circus', '[TRANSFER→]Charing Cross LU']",653050.3259564365,Oxford Circus,88888.96704187145,Leicester Square,Oxford Circus
"['Euston LU', '[TRANSFER→]Warren Street', '[TRANSFER→]Oxford Circus', 'Green Park', 'Oxford Circus', '[TRANSFER→]Tottenham Court Road']",653050.3259564365,Oxford Circus,88888.96704187145,Euston LU,Oxford Circus
"['Farringdon', '[TRANSFER→]Tottenham Court Road', 'Oxford Circus', 'Green Park', '[TRANSFER→]Piccadilly Circus', '[TRANSFER→]Charing Cross LU']",653050.3259564365,Green Park,50979.93327935799,Farringdon,Green Park
"['Victoria LU', 'Green Park', 'Oxford Circus', '[TRANSFER→]Bond Street', '[TRANSFER→]Tottenham Court Road', '[TRANSFER→]Farringdon']",653050.3259564365,Oxford Circus,88888.96704187145,Victoria LU,Oxford Circus
"['Victoria LU', 'Green Park', 'Oxford Circus', '[TRANSFER→]Piccadilly Circus', '[TRANSFER→]Charing Cross LU', '[TRANSFER→]Embankment']",653050.3259564365,Oxford Circus,88888.96704187145,Victoria LU,Oxford Circus
"['Leicester Square', '[TRANSFER→]Charing Cross LU', '[TRANSFER→]Piccadilly Circus', 'Green Park', '[TRANSFER→]Bond Street', 'Oxford Circus']",653050.3259564365,Oxford Circus,88888.96704187145,Leicester Square,Oxford Circus
"['Victoria LU', '[TRANSFER→]Green Park', 'Oxford Circus', '[TRANSFER→]Piccadilly Circus', 'Green Park', '[TRANSFER→]Westminster']",653050.3259564365,Green Park,50979.93327935799,Victoria LU,Green Park
